90
290.94,TPASLC,TPASLC-1,TPA,SLC,6,5,0,55,310,55,3258.479431,A100,13,5,0
90.17,TPAJFK,TPAJFK-2,TPA,JFK,5,10,0,55,115,55,1009.848112,B800,8,55,0
53.62,TPAIAD,TPAIAD-3,TPA,IAD,11,15,0,55,80,55,600.5581805,B600,14,25,0
104.21,SLCSFO,SLCSFO-4,SLC,SFO,6,5,0,55,140,55,1167.180761,B600,10,15,0
27.34,SLCPHX,SLCPHX-5,SLC,PHX,7,0,0,55,45,55,306.1757503,A100,9,35,0
284.23,SLCDTW,SLCDTW-6,SLC,DTW,5,10,0,55,305,55,3183.366546,A100,12,5,0
394.72,SFOTPA,SFOTPA-7,SFO,TPA,7,0,0,55,450,55,4420.83687,A100,16,20,0
43.52,SFOLAX,SFOLAX-8,SFO,LAX,5,10,0,55,70,55,487.4404296,A300,8,10,0
478.42,SFOEWR,SFOEWR-9,SFO,EWR,6,5,0,55,495,55,5358.306644,B800,16,5,0
119.73,SEAPHX,SEAPHX-10,SEA,PHX,7,0,0,55,155,55,1340.99532,A100,11,25,0
403.22,SEAMCO,SEAMCO-11,SEA,MCO,6,5,0,55,455,55,4516.084783,A100,16,25,0
374.70,SEAATL,SEAATL-12,SEA,ATL,5,10,0,55,430,55,4196.596244,B600,15,5,0
238.76,SANMSP,SANMSP-13,SAN,MSP,7,0,0,55,260,55,2674.112561,A100,13,10,0
359.80,SANCLT,SANCLT-14,SAN,CLT,7,55,0,55,375,55,4029.711812,A100,16,0,0
325.26,SANATL,SANATL-15,SAN,ATL,5,10,0,55,345,55,3642.902723,B600,12,45,0
304.59,PHXMCO,PHXMCO-16,PHX,MCO,5,10,0,55,355,55,3411.379954,A100,12,55,0
165.61,PHXIAH,PHXIAH-17,PHX,IAH,7,0,0,55,205,55,1854.798981,B600,12,15,0
251.48,PHXBNA,PHXBNA-18,PHX,BNA,6,5,0,55,275,55,2816.589142,A100,12,30,0
80.60,PHLDTW,PHLDTW-19,PHL,DTW,6,5,0,55,105,55,902.6681252,A100,9,40,0
216.07,PHLDFW,PHLDFW-20,PHL,DFW,5,10,0,55,265,55,2420.018148,B600,11,20,0
221.92,PHLAUS,PHLAUS-21,PHL,AUS,7,0,0,55,270,55,2485.44827,A100,13,10,0
54.20,ORDTPA,ORDTPA-22,ORD,TPA,9,55,0,55,85,75,607.0617605,A100,13,30,0
341.45,ORDSEA,ORDSEA-23,ORD,SEA,5,10,0,55,360,75,3824.267746,A100,13,20,0
270.38,ORDLAS,ORDLAS-24,ORD,LAS,6,5,0,55,320,75,3028.232179,A100,13,35,0
128.45,MSPFLL,MSPFLL-25,MSP,FLL,6,5,0,55,165,55,1438.674775,B600,10,40,0
164.22,MSPBWI,MSPBWI-26,MSP,BWI,5,10,0,55,205,55,1839.218903,B600,10,20,0
220.50,MSPBOS,MSPBOS-27,MSP,BOS,7,55,0,55,265,55,2469.586958,A100,14,10,0
127.09,MIAMSP,MIAMSP-28,MIA,MSP,7,0,0,55,150,55,1423.374244,A100,11,20,0
149.39,MIAIAH,MIAIAH-29,MIA,IAH,6,5,0,55,170,55,1673.186567,B600,10,45,0
68.45,MIAEWR,MIAEWR-30,MIA,EWR,5,10,0,55,95,55,766.6243976,B800,8,35,0
124.23,MDWPHL,MDWPHL-31,MDW,PHL,7,0,0,55,160,55,1391.368099,B600,11,30,0
137.79,MDWLGA,MDWLGA-32,MDW,LGA,5,10,0,55,175,55,1543.241414,B800,9,55,0
102.25,MDWIAD,MDWIAD-33,MDW,IAD,6,5,0,55,140,55,1145.211692,B600,10,10,0
66.27,MCOORD,MCOORD-34,MCO,ORD,8,50,0,55,90,55,742.2553983,B600,12,10,0
77.96,MCOLGA,MCOLGA-35,MCO,LGA,5,10,0,55,105,55,873.128739,B800,8,40,0
230.89,MCODEN,MCODEN-36,MCO,DEN,7,0,0,55,255,55,2585.923881,A100,13,5,0
137.79,LGAMDW,LGAMDW-37,LGA,MDW,10,50,0,55,160,55,1543.241414,A300,15,20,0
69.96,LGAFLL,LGAFLL-38,LGA,FLL,5,10,0,55,105,55,783.5939619,B600,8,45,0
31.77,LGADCA,LGADCA-39,LGA,DCA,9,55,0,55,60,55,355.8222937,B600,12,40,0
77.85,LAXSEA,LAXSEA-40,LAX,SEA,6,5,0,55,100,55,871.9403111,A100,9,35,0
438.43,LAXEWR,LAXEWR-41,LAX,EWR,5,10,0,55,455,55,4910.382729,B800,14,30,0
337.36,LAXATL,LAXATL-42,LAX,ATL,8,10,0,55,390,55,3778.485302,B600,16,30,0
344.99,LASMIA,LASMIA-43,LAS,MIA,7,0,0,55,400,55,3863.841051,B600,15,25,0
339.61,LASCLT,LASCLT-44,LAS,CLT,6,5,0,55,390,55,3803.668448,A100,14,25,0
174.16,LASAUS,LASAUS-45,LAS,AUS,5,10,0,55,210,55,1950.607952,A100,10,30,0
78.80,JFKMCO,JFKMCO-46,JFK,MCO,7,0,0,55,110,55,882.5135784,A100,10,40,0
442.36,JFKLAX,JFKLAX-47,JFK,LAX,5,10,0,55,500,55,4954.43814,A300,15,20,0
410.43,JFKLAS,JFKLAS-48,JFK,LAS,6,5,0,55,465,55,4596.849843,A100,15,40,0
166.38,IAHSLC,IAHSLC-49,IAH,SLC,6,5,0,55,185,55,1863.479565,A100,11,0,0
149.39,IAHMIA,IAHMIA-50,IAH,MIA,5,10,0,55,190,55,1673.186567,B600,10,10,0
240.62,IAHBOS,IAHBOS-51,IAH,BOS,12,15,0,55,265,55,2694.904506,B600,18,30,0
156.38,IADMSP,IADMSP-52,IAD,MSP,5,10,0,55,175,55,1751.490239,A100,9,55,0
36.75,IADJFK,IADJFK-53,IAD,JFK,7,0,0,55,60,55,411.6262536,B800,9,50,0
36.36,IADFLL,IADFLL-54,IAD,FLL,11,35,0,55,65,55,407.1840245,B600,14,30,0
